epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,42.0252,2.05227,2.66208,2.09428,0.00333,1,0.24875,0.07462,2.6573,3.32126,3.50163,0.00050105,0.00050105,0.00050105
57,42.6165,2.117,2.97348,2.39667,0.00333,1,0.24875,0.07462,2.6573,3.32126,3.50163,0.000499072,0.000499072,0.000499072
58,43.1796,2.25131,3.72085,2.24926,0.00333,1,0.33167,0.05804,3.46087,3.86039,4.43917,0.000496698,0.000496698,0.000496698
59,43.7778,2.61078,3.80691,2.55279,0.00333,1,0.33167,0.05804,3.46087,3.86039,4.43917,0.000493928,0.000493928,0.000493928
60,44.337,2.23196,3.04038,2.36289,0.00333,1,0.24875,0.02914,3.07124,4.08818,5.24955,0.000490762,0.000490762,0.000490762
61,44.9314,2.53571,3.06658,2.6374,0.00333,1,0.24875,0.02914,3.07124,4.08818,5.24955,0.0004872,0.0004872,0.0004872
62,45.8138,1.48466,3.06669,2.18209,0.00333,1,0.04975,0.01519,3.08791,6.29145,4.43198,0.000483242,0.000483242,0.000483242
63,46.4328,1.39859,2.59642,1.98183,0.00333,1,0.04975,0.01519,3.08791,6.29145,4.43198,0.000478888,0.000478888,0.000478888
64,46.9901,3.4694,3.42483,3.28667,0.00333,1,0.33167,0.06633,3.40646,4.43076,4.99132,0.000474138,0.000474138,0.000474138
65,47.5621,2.25659,3.2683,2.80482,0.00333,1,0.33167,0.06633,3.40646,4.43076,4.99132,0.000468992,0.000468992,0.000468992
66,48.1156,1.19935,2.91513,1.68192,0.00333,1,0.4975,0.04975,3.32862,4.19947,6.07981,0.00046345,0.00046345,0.00046345
67,48.6509,1.76954,2.63232,2.32169,0.00333,1,0.4975,0.04975,3.32862,4.19947,6.07981,0.000457512,0.000457512,0.000457512
68,49.1975,1.32377,2.60101,2.09477,0,0,0,0,4.31617,4.17627,6.51856,0.000451178,0.000451178,0.000451178
69,49.7179,1.91302,2.778,2.09637,0,0,0,0,4.31617,4.17627,6.51856,0.000444448,0.000444448,0.000444448
